Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
Talen Horton-Tucker,UTA,"$10,260,000","$11,020,000","$10,260,000",hortota01
Jae Crowder,MIL,"$10,183,800",,"$10,183,800",crowdja01
Derrick Favors,HOU,"$10,183,800",,"$10,183,800",favorde01
Ivica Zubac,LAC,"$10,123,457","$10,933,333","$32,800,000",zubaciv01
Reggie Bullock,DAL,"$10,012,800","$10,489,600","$15,464,000",bullore01
Alec Burks,DET,"$10,012,800","$10,489,600","$10,012,800",burksal01
Chet Holmgren,OKC,"$9,891,240","$10,386,000","$20,277,240",holmgch01
De'Andre Hunter,ATL,"$9,835,881","$20,089,286","$99,835,881",huntede01
Danny Green,HOU,"$11,710,528",,"$9,710,528",greenda02
Larry Nance Jr.,NOP,"$9,672,727","$10,375,000","$31,252,727",nancela02
James Wiseman,DET,"$9,603,360","$12,119,440","$9,603,360",wisemja01
Landry Shamet,PHO,"$9,500,000","$10,250,000","$42,500,000",shamela01
Malik Monk,SAC,"$9,472,219","$9,945,830","$19,418,049",monkma01
Jalen Green,HOU,"$9,441,840","$9,891,480","$19,333,320",greenja05
Jakob Poeltl,TOR,"$9,398,148",,"$9,398,148",poeltja01
Dario Šarić,OKC,"$9,240,000",,"$9,240,000",saricda01
Nerlens Noel,DET,"$9,240,000",,"$9,240,000",noelne01
Royce O'Neale,BRK,"$9,200,000","$9,500,000","$11,700,000",onealro01
Kemba Walker,DET,"$37,281,261",,"$9,165,471",walkeke02
Monte Morris,WAS,"$9,125,000","$9,800,926","$18,925,926",morrimo01
Mason Plumlee,LAC,"$9,080,417",,"$9,080,417",plumlma01
Alex Caruso,CHI,"$9,030,000","$9,460,000","$28,380,000",carusal01
Maxi Kleber,DAL,"$9,000,000","$11,000,000","$42,000,000",klebima01
Darius Garland,CLE,"$8,920,795","$33,500,000","$203,220,795",garlada01
Jabari Smith Jr.,HOU,"$8,882,640","$9,326,520","$18,209,160",smithja05
Nicolas Batum,CHO,"$19,700,319","$11,710,818","$8,856,969",batumni01
Kyle Anderson,MIN,"$8,780,488","$9,219,512","$18,000,000",anderky01
Victor Oladipo,MIA,"$8,750,000","$9,450,000","$8,750,000",oladivi01
Daniel Theis,IND,"$8,694,369","$9,108,387","$17,802,756",theisda01
LaMelo Ball,CHO,"$8,623,920","$10,900,635","$19,524,555",ballla01
Nic Claxton,BRK,"$8,500,000","$8,750,000","$17,250,000",claxtni01
Grayson Allen,MIL,"$8,500,000","$8,500,000","$17,000,000",allengr01
Seth Curry,BRK,"$8,496,653",,"$8,496,653",curryse01
Evan Mobley,CLE,"$8,478,720","$8,882,640","$17,361,360",mobleev01
Gary Payton II,GSW,"$8,300,000","$8,715,000","$17,015,000",paytoga02
De'Anthony Melton,PHI,"$8,250,000","$8,000,000","$9,750,000",meltode01
JaMychal Green,OKC,"$10,036,090",,"$8,200,000",greenja01
T.J. McConnell,IND,"$8,100,000","$8,700,000","$21,800,000",mccontj01
Keegan Murray,SAC,"$8,008,440","$8,409,000","$16,417,440",murrake02
Kevon Looney,GSW,"$8,000,000","$8,500,000","$25,500,000",looneke01
Thaddeus Young,TOR,"$8,000,000","$8,000,000","$9,000,000",youngth01
DeAndre Jordan,DET,"$9,663,997",,"$7,827,907",jordade01
Isaiah Hartenstein,NYK,"$7,804,879","$8,195,121","$16,000,000",harteis01
Delon Wright,WAS,"$7,804,878","$8,195,122","$16,000,000",wrighde01
Patrick Williams,CHI,"$7,775,400","$9,835,881","$17,611,281",willipa01
Scottie Barnes,TOR,"$7,644,600","$8,008,680","$15,653,280",barnesc01
Cedi Osman,CLE,"$7,426,088","$6,718,842","$7,426,088",osmande01
Coby White,CHI,"$7,413,955",,"$7,413,955",whiteco01
Zach Collins,SAS,"$7,350,000","$7,700,000","$7,350,000",colliza01
Taurean Prince,MIN,"$7,295,000","$7,650,000","$14,945,000",princta02
Jaden Ivey,DET,"$7,252,200","$7,614,480","$14,866,680",iveyja01
Jae'Sean Tate,HOU,"$7,065,217","$6,500,000","$13,565,217",tateja01
Isaac Okoro,CLE,"$7,040,880","$8,920,795","$15,961,675",okorois01
Cody Martin,CHO,"$7,000,000","$7,560,000","$22,680,000",martico01
Jalen Suggs,ORL,"$6,922,320","$7,252,080","$14,174,400",suggsja01
Jaxson Hayes,NOP,"$6,803,012",,"$6,803,012",hayesja02
Khem Birch,SAS,"$6,667,500","$6,985,000","$13,652,500",birchkh01
Bennedict Mathurin,IND,"$6,586,800","$6,916,080","$13,502,880",mathube01
John Wall,HOU,"$47,345,760","$6,802,950","$54,148,710",walljo01
Caleb Martin,MIA,"$6,479,000","$6,802,950","$20,408,850",martica02
Patty Mills,BRK,"$6,479,000","$6,802,950","$13,281,950",millspa02
Danilo Gallinari,BOS,"$19,479,000","$6,802,950","$13,281,950",gallida01
Joe Ingles,MIL,"$6,479,000",,"$6,479,000",inglejo01
Lonnie Walker IV,LAL,"$6,479,000",,"$6,479,000",walkelo01
Bruce Brown,DEN,"$6,479,000","$6,802,950","$6,479,000",brownbr01
Onyeka Okongwu,ATL,"$6,395,160","$8,109,063","$14,504,223",okongon01
Justin Holiday,HOU,"$6,862,261",,"$6,292,440",holidju01
Josh Giddey,OKC,"$6,287,400","$6,587,040","$12,874,440",giddejo01
Rui Hachimura,LAL,"$6,263,188",,"$6,263,188",hachiru01
Rudy Gay,UTA,"$6,184,500","$6,479,000","$6,184,500",gayru01
Shaedon Sharpe,POR,"$6,012,960","$6,313,800","$12,326,760",sharpsh01
Otto Porter Jr.,TOR,"$6,000,000","$6,300,000","$12,300,000",porteot01
Cameron Payne,PHO,"$6,000,000","$6,500,000","$8,000,000",payneca01
Cam Reddish,POR,"$5,954,454",,"$5,954,454",reddica01
Cameron Johnson,BRK,"$5,887,899",,"$5,887,899",johnsca02
Ricky Rubio,CLE,"$5,853,659","$6,146,342","$16,250,001",rubiori01
Killian Hayes,DET,"$5,837,760","$7,413,955","$13,251,715",hayeski01
P.J. Washington,CHO,"$5,808,435",,"$5,808,435",washipj01
Jonathan Kuminga,GSW,"$5,739,840","$6,012,840","$11,752,680",kuminjo01
Pat Connaughton,MIL,"$5,728,393","$9,423,869","$34,000,000",connapa01
Tyler Herro,MIA,"$5,722,116","$27,000,000","$125,722,116",herroty01
Romeo Langford,SAS,"$5,634,257",,"$5,634,257",langfro01
Dyson Daniels,NOP,"$5,508,600","$5,784,120","$11,292,720",daniedy01
JaVale McGee,DAL,"$5,461,219","$5,734,280","$17,202,840",mcgeeja01
Obi Toppin,NYK,"$5,348,280","$6,803,012","$12,151,292",toppiob01
Franz Wagner,ORL,"$5,258,280","$5,508,720","$10,767,000",wagnefr01
Kendrick Nunn,WAS,"$5,250,000",,"$5,250,000",nunnke01
Hamidou Diallo,DET,"$5,200,000",,"$5,200,000",diallha01
Garrett Temple,NOP,"$5,155,500","$5,401,000","$5,155,500",templga01
Cory Joseph,DET,"$5,155,500",,"$5,155,500",josepco01
Torrey Craig,PHO,"$5,121,951",,"$5,121,951",craigto01
Jeremy Sochan,SAS,"$5,063,520","$5,316,960","$10,380,480",sochaje01
David Nwaba,OKC,"$5,022,000",,"$5,022,000",nwabada01
Nickeil Alexander-Walker,MIN,"$5,009,633",,"$5,009,633",alexani01
Furkan Korkmaz,PHI,"$5,000,000","$5,370,370","$10,370,370",korkmfu01
Deni Avdija,WAS,"$4,916,160","$6,263,188","$11,179,348",avdijde01
Davion Mitchell,SAC,"$4,833,600","$5,063,640","$9,897,240",mitchda01
Johnny Davis,WAS,"$4,810,320","$5,050,800","$9,861,120",davisjo06
Goga Bitadze,IND,"$5,377,520","$2,066,585","$4,765,339",bitadgo01
Ish Smith,DEN,"$4,725,000",,"$4,725,000",smithis01
Dewayne Dedmon,SAS,"$8,147,040","$7,190,667","$4,700,000",dedmode01
Jalen Smith,IND,"$4,670,160","$5,043,773","$9,713,933",smithja04
Ziaire Williams,MEM,"$4,591,680","$4,810,200","$9,401,880",willizi02
Ousmane Dieng,OKC,"$4,569,840","$4,798,440","$9,368,280",diengou01
Maurice Harkless,HOU,"$4,564,980",,"$4,564,980",harklma01
