Player,Tm,salary_23_24,salary_24_25,Guaranteed,other_player_name
Jabari Smith Jr.,HOU,"$9,326,520","$9,770,880","$9,326,520",smithja05
Isaiah Hartenstein,NYK,"$9,245,121",,"$9,245,121",harteis01
Kyle Anderson,MIN,"$9,219,512",,"$9,219,512",anderky01
Daniel Theis,IND,"$9,108,387","$9,522,405","$9,108,387",theisda01
Grayson Allen,MIL,"$8,925,000",,"$8,925,000",allengr01
Isaac Okoro,CLE,"$8,920,795",,"$8,920,795",okorois01
Evan Mobley,CLE,"$8,882,640","$11,227,657","$8,882,640",mobleev01
Amen Thompson,HOU,"$8,809,320","$9,249,960","$18,059,280",thompam01
Georges Niang,CLE,"$8,800,000","$8,500,000","$25,500,000",niangge01
Gary Payton II,GSW,"$8,715,000","$9,130,000","$8,715,000",paytoga02
T.J. McConnell,IND,"$8,700,000","$9,300,000","$13,700,000",mccontj01
Keegan Murray,SAC,"$8,409,000","$8,809,560","$8,409,000",murrake02
Delon Wright,WAS,"$8,195,122",,"$8,195,122",wrighde01
Onyeka Okongwu,ATL,"$8,109,063",,"$8,109,063",okongon01
Scottie Barnes,TOR,"$8,008,680","$10,130,980","$8,008,680",barnesc01
Jock Landale,HOU,"$8,000,000","$8,000,000","$24,000,000",landajo01
Trey Lyles,SAC,"$8,000,000","$8,000,000","$16,000,000",lylestr01
De'Anthony Melton,PHI,"$8,000,000",,"$8,000,000",meltode01
Moritz Wagner,ORL,"$8,000,000","$8,000,000","$8,000,000",wagnemo01
Thaddeus Young,TOR,"$8,000,000",,"$1,000,000",youngth01
Ausar Thompson,DET,"$7,977,480","$8,376,000","$16,353,480",thompau01
Miles Bridges,CHO,"$7,921,300",,"$7,921,300",bridgmi02
Vasilije Micić,OKC,"$7,723,000","$7,723,000","$23,555,150",micicva01
Paul Reed,PHI,"$7,723,000","$7,723,000","$7,723,000",reedpa01
Zach Collins,SAS,"$7,700,000",,,colliza01
Jaden Ivey,DET,"$7,614,480","$7,977,240","$7,614,480",iveyja01
Cody Martin,CHO,"$7,560,000","$8,120,000","$15,680,000",martico01
Kevon Looney,GSW,"$7,500,000","$8,000,000","$15,500,000",looneke01
Killian Hayes,DET,"$7,413,955",,"$7,413,955",hayeski01
Jalen Suggs,ORL,"$7,252,080","$9,188,385","$7,252,080",suggsja01
Anthony Black,ORL,"$7,245,480","$7,607,760","$14,853,240",blackan01
Khem Birch,SAS,"$6,985,000",,"$6,985,000",birchkh01
Bennedict Mathurin,IND,"$6,916,080","$7,245,720","$6,916,080",mathube01
Obi Toppin,IND,"$6,803,012",,"$6,803,012",toppiob01
Caleb Martin,MIA,"$6,802,950","$7,126,900","$13,929,850",martica02
Danilo Gallinari,WAS,"$6,802,950",,"$6,802,950",gallida01
John Wall,HOU,"$6,802,950",,"$6,802,950",walljo01
Patty Mills,ATL,"$6,802,950",,"$6,802,950",millspa02
Cedi Osman,SAS,"$6,718,842",,"$6,718,842",osmande01
Bilal Coulibaly,WAS,"$6,614,280","$6,945,240","$13,559,520",coulibi01
Josh Giddey,OKC,"$6,587,040","$8,352,367","$6,587,040",giddejo01
Cameron Payne,SAS,"$6,500,000",,"$6,500,000",payneca01
Jae'Sean Tate,HOU,"$6,500,000","$7,065,217","$6,500,000",tateja01
