player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
MarJon Beauchamp,beaucma01,2023,1516,706,-3.489048754589397,-1.589511000030813,-5.078559754620209,-3.520450932419059,-2.31256779767534,-5.833018730094399,-3.702904288815778,-1.884459258898356,-5.587363547714133,-1.027525629019616,-1.012805851307768,-.014719777711847,-2.775865203129763,-1.766671205669991,-4.542536408799755,.5178480342735172
Davis Bertans,bertada01,2023,1028,492,.2426191079509988,-.9538269314202278,-.711207823469229,-2.374191393351923,-.3956669573719858,-2.769858350723909,-.3065895903043352,-.8649998252463782,-1.171589415550713,.3978833935620925,.3978833935620925,0,-.0518937072965258,-1.80199419091625,-1.853887898212776,.4262690420448175
Patrick Beverley,beverpa01,2023,3786,1816,-2.763773679687856,.4381343749573753,-2.325639304730481,-1.508854128060758,-.577394732205744,-2.086248860266502,-2.663761963931721,.2366003732357982,-2.427161590695922,.3190916513289261,.3190916513289261,0,-3.064120097878833,1.339840239057478,-1.724279858821356,-.7445952175081139
Saddiq Bey,beysa01,2023,4830,2262,1.386127933552735,-2.426165710611237,-1.040037777058502,2.371591292547055,-2.149293755790094,.2222975367569611,1.711436898594991,-2.474381072564639,-.7629441739696479,2.286644645914789,2.531594427171362,-.2449497812565735,1.431039525043108,-2.530354038523466,-1.099314513480357,-.062417734621466
Khem Birch,birchkh01,2023,331,162,-6.40165475600338,-.8151759472555464,-7.216830703258927,-2.422774473965871,2.656829695317244,.2340552213513733,-5.983776454959853,-.1477923900984475,-6.1315688450583,-.2777777020636086,-.2777777020636086,0,-6.006176732566199,-.1692909688223934,-6.175467701388592,-.6200883358160393
Goga Bitadze,bitadgo01,2023,955,457,-.0581540218378388,1.382841605216995,1.324687583379157,-1.109682163306818,4.902824482585976,3.793142319279158,-.2520132279946047,2.237436070678517,1.985422842683913,1.109276297427436,1.109276297427436,0,-.7284298319041999,.5465094799731356,-.1819203519310642,-.0176129879934371
Bismack Biyombo,biyombi01,2023,1973,952,-4.12128622927039,.6099751576940008,-3.511311071576388,-.1379520790162955,.9360294251738785,.798077346157583,-3.559756999070484,.6729219570848562,-2.886835041985628,-.0719648927633583,.2238511240576869,-.2958160168210452,-3.536897203748683,.3002816430067508,-3.236615560741932,-.3745638232220687
Buddy Boeheim,boehebu01,2023,187,90,-2.411293976924953,-2.61486960915764,-5.026163586082593,-.9804701577344823,6.275269279213502,5.29479912147902,-2.230510365365666,-.8563871033079822,-3.086897468673648,-.0153776989022762,-.0153776989022762,0,-3.11765165070001,-2.023892487948961,-5.141544138648971,-.5999994938220521
Bogdan Bogdanovic,bogdabo01,2023,3514,1665,2.733301805829537,-.2684090516097394,2.464892754219798,3.924076997113509,-1.89547139932345,2.028605597790059,3.123325418018788,-.6059218583519119,2.517403559666876,4.484251580487859,3.416165215039255,1.068086365448604,3.509670376217109,-.5141257351667702,2.995544641050339,-.4478513845311797
Bojan Bogdanovic,bogdabo02,2023,3990,1893,1.826386440507225,-3.148989340568146,-1.32260290006092,1.788652310356385,-3.217937343585649,-1.429285033229264,2.018910281066519,-3.305905996171814,-1.286995715105296,1.422911019097654,1.422911019097654,0,1.6177748376829,-3.546779060719927,-1.929004223037027,.7092534789165912
