player,team,salary_22_23,salary_23_24,guaranteed,player_id,salary_22_23_log,salary_23_24_log,raptor_total,nba_id,DPM,raptor_zscore,darko_zscore,raptor_zscore_standardized,darko_zscore_standardized,raptor_plus_darko,salary_22_23_log_zscores,salary_22_23_log_zscores_transformed,raptor_plus_darko_transformed,DARYL_SCORE,statmuse_player_names
Josh Green,DAL,3098400.0,4765339.0,7863739.0,greenjo02,14.946396407182679,15.3768792362964,-0.08251367698,1630182,-1.42,0.01123856435735062,-0.9862405595971464,0.011271377753770684,-0.9891201002055905,-0.9778487224518198,-0.962466036986259,5.569436149534167,4.52215127754818,25.18583279883895,josh-green
Larry Nance Jr.,NOP,9672727.0,10375000.0,31252727.0,nancela02,16.08482083387796,16.154909624081036,1.991406334,1626204,2.13,0.8798645413748933,1.944023104896151,0.8824334944078674,1.9496990968433778,2.8321325912512454,0.4216181763271115,2.96735782850503,8.332132591251245,24.724418872791283,larry-nance-jr.
Anthony Edwards,MIN,10733400.0,13534817.0,24268217.0,edwaran01,16.18887093300736,16.420775960436735,2.308679682,1630162,2.77,1.012749064610628,2.472295990889309,1.0157060024787092,2.4795143887057276,3.4952203911844366,0.5481211713627627,2.729532197838006,8.995220391184436,24.5527436843869,anthony-edwards
Jalen Williams,OKC,4341480.0,4558680.0,8900160.0,willija06,15.283725861769474,15.332543665900765,-1.580083923,1631114,-0.13,-0.6159931568346529,0.0785594762328124,-0.6177916808279814,0.07878884745445723,-0.5390028333735242,-0.5523445024944794,4.798407664689622,4.960997166626476,23.80488682884398,jalen-williams
T.J. McConnell,IND,8100000.0,8700000.0,21800000.0,mccontj01,15.907374619642667,15.978833583624812,2.241381043,204456,0.4,0.9845621790297794,0.5160354599458963,0.9874368192465767,0.5175421360279652,1.5049789552745418,0.20588097140061373,3.372943773766846,7.004978955274542,23.62740015256105,t.j.-mcconnell
Jakob Poeltl,TOR,9398148.0,,9398148.0,poeltja01,16.056023206552396,,0.7600852902,1627751,1.97,0.36414675137795316,1.8119548833978618,0.36520995583433263,1.817245273877791,2.1824552297121236,0.38660632975430226,3.0331801000619114,7.682455229712124,23.302270322379375,jakob-poeltl
Ja Morant,MEM,12119440.0,33500000.0,206419440.0,moranja01,16.310321332917514,17.327055996795295,5.462073216,1629630,1.78,2.333494090884434,1.655123870368643,2.3403072268165146,1.659956359106156,4.000263585922671,0.6957792655449178,2.4519349807755546,9.50026358592267,23.294028612912005,ja-morant
Shake Milton,PHI,1997718.0,,1997718.0,miltosh01,14.507516087088147,,-2.045949833,1629003,-1.65,-0.8111131369160925,-1.1760886280009375,-0.8134813554942725,-1.1795224707186223,-1.9930038262128948,-1.4960520250699054,6.572577807131422,3.506996173787105,23.05000522152794,shake-milton
Ayo Dosunmu,CHI,1563518.0,,1563518.0,dosunay01,14.262448968445678,,-2.565707602,1630245,-1.72,-1.0288048017439686,-1.2338684749064392,-1.0318086177764327,-1.2374710182660666,-2.2692796360424996,-1.794002000633832,7.1327237611916035,3.2307203639575004,23.04383590576525,ayo-dosunmu
Jarred Vanderbilt,LAL,4374000.0,4698000.0,4674000.0,vandeja01,15.29118848021885,15.362647444200995,-1.800313864,1629020,-0.26,-0.7082327064107459,-0.02874595373454781,-0.7103005435306988,-0.02882988370508248,-0.7391304272357813,-0.5432715309879338,4.781350478257315,4.760869572764219,22.763386008656898,jarred-vanderbilt
Christian Braun,DEN,2808600.0,2949120.0,5757720.0,braunch01,14.848196696516217,14.897017378729444,-1.693233494,1631128,-1.32,-0.663383922215497,-0.9036979211607156,-0.6653208137014737,-0.9063364608520984,-1.571657274553572,-1.0818561924487007,5.793889641803557,3.928342725446428,22.760384226418413,christian-braun
Kyle Anderson,MIN,8780488.0,9219512.0,18000000.0,anderky01,15.988042544932345,16.036832665715533,1.42005237,203937,0.96,0.6405626914603298,0.9782742351899094,0.6424329514738379,0.9811305164075208,1.6235634678813589,0.30395617015429516,3.188562400109925,7.123563467881359,22.71392662848317,kyle-anderson
Keldon Johnson,SAS,3873025.0,20000000.0,77873025.0,johnske04,15.169546413420544,16.811242831518264,-1.947744985,1629640,-0.56,-0.7699817135293485,-0.2763738690438406,-0.7722298401048494,-0.2771808017655587,-1.0494106418704081,-0.691162651717909,5.0593857852296695,4.450589358129592,22.517248534415295,keldon-johnson
Pat Connaughton,MIL,5728393.0,9423869.0,34000000.0,connapa01,15.560945595604233,16.058756284097772,0.5925064104,1626192,-0.75,0.29395919958081485,-0.4332048820730593,0.29481747644256195,-0.43446971653719363,-0.13965224009463167,-0.2153037220770657,4.164770997504883,5.360347759905368,22.324620886994143,pat-connaughton
Coby White,CHI,7413955.0,,7413955.0,whiteco01,15.818874593076337,,1.305119584,1629632,-0.09,0.5924250569314922,0.11157653160738476,0.5941547688078633,0.11190230319585405,0.7060570720037174,0.09828358788008479,3.5752268547854404,6.206057072003717,22.18806190615879,coby-white
