Player,Tm,salary_22_23,Guaranteed,-9999
Zach Collins,SAS,"$7,350,000","$7,350,000",colliza01
Taurean Prince,MIN,"$7,295,000","$14,945,000",princta02
Jaden Ivey,DET,"$7,252,200","$14,866,680",iveyja01
Jae'Sean Tate,HOU,"$7,065,217","$13,565,217",tateja01
Isaac Okoro,CLE,"$7,040,880","$15,961,675",okorois01
Cody Martin,CHO,"$7,000,000","$22,680,000",martico01
Jalen Suggs,ORL,"$6,922,320","$14,174,400",suggsja01
Jaxson Hayes,NOP,"$6,803,012","$6,803,012",hayesja02
Khem Birch,SAS,"$6,667,500","$13,652,500",birchkh01
Bennedict Mathurin,IND,"$6,586,800","$13,502,880",mathube01
John Wall,HOU,"$47,345,760","$54,148,710",walljo01
Caleb Martin,MIA,"$6,479,000","$20,408,850",martica02
Patty Mills,BRK,"$6,479,000","$13,281,950",millspa02
Danilo Gallinari,BOS,"$19,479,000","$13,281,950",gallida01
Joe Ingles,MIL,"$6,479,000","$6,479,000",inglejo01
Lonnie Walker IV,LAL,"$6,479,000","$6,479,000",walkelo01
Bruce Brown,DEN,"$6,479,000","$6,479,000",brownbr01
Onyeka Okongwu,ATL,"$6,395,160","$14,504,223",okongon01
Justin Holiday,HOU,"$6,862,261","$6,292,440",holidju01
Josh Giddey,OKC,"$6,287,400","$12,874,440",giddejo01
Rui Hachimura,LAL,"$6,263,188","$6,263,188",hachiru01
Rudy Gay,UTA,"$6,184,500","$6,184,500",gayru01
Shaedon Sharpe,POR,"$6,012,960","$12,326,760",sharpsh01
Otto Porter Jr.,TOR,"$6,000,000","$12,300,000",porteot01
Cameron Payne,PHO,"$6,000,000","$8,000,000",payneca01
Cam Reddish,POR,"$5,954,454","$5,954,454",reddica01
Cameron Johnson,BRK,"$5,887,899","$5,887,899",johnsca02
Ricky Rubio,CLE,"$5,853,659","$16,250,001",rubiori01
Killian Hayes,DET,"$5,837,760","$13,251,715",hayeski01
P.J. Washington,CHO,"$5,808,435","$5,808,435",washipj01
Jonathan Kuminga,GSW,"$5,739,840","$11,752,680",kuminjo01
Pat Connaughton,MIL,"$5,728,393","$34,000,000",connapa01
Tyler Herro,MIA,"$5,722,116","$125,722,116",herroty01
Romeo Langford,SAS,"$5,634,257","$5,634,257",langfro01
Dyson Daniels,NOP,"$5,508,600","$11,292,720",daniedy01
JaVale McGee,DAL,"$5,461,219","$17,202,840",mcgeeja01
Obi Toppin,NYK,"$5,348,280","$12,151,292",toppiob01
Franz Wagner,ORL,"$5,258,280","$10,767,000",wagnefr01
Kendrick Nunn,WAS,"$5,250,000","$5,250,000",nunnke01
Hamidou Diallo,DET,"$5,200,000","$5,200,000",diallha01
Garrett Temple,NOP,"$5,155,500","$5,155,500",templga01
Cory Joseph,DET,"$5,155,500","$5,155,500",josepco01
Torrey Craig,PHO,"$5,121,951","$5,121,951",craigto01
Jeremy Sochan,SAS,"$5,063,520","$10,380,480",sochaje01
David Nwaba,OKC,"$5,022,000","$5,022,000",nwabada01
Nickeil Alexander-Walker,MIN,"$5,009,633","$5,009,633",alexani01
Furkan Korkmaz,PHI,"$5,000,000","$10,370,370",korkmfu01
Deni Avdija,WAS,"$4,916,160","$11,179,348",avdijde01
Davion Mitchell,SAC,"$4,833,600","$9,897,240",mitchda01
Johnny Davis,WAS,"$4,810,320","$9,861,120",davisjo06
Goga Bitadze,IND,"$5,377,520","$4,765,339",bitadgo01
Ish Smith,DEN,"$4,725,000","$4,725,000",smithis01
Dewayne Dedmon,SAS,"$8,147,040","$4,700,000",dedmode01
Jalen Smith,IND,"$4,670,160","$9,713,933",smithja04
Ziaire Williams,MEM,"$4,591,680","$9,401,880",willizi02
Ousmane Dieng,OKC,"$4,569,840","$9,368,280",diengou01
Maurice Harkless,HOU,"$4,564,980","$4,564,980",harklma01
Donte DiVincenzo,GSW,"$4,500,000","$4,500,000",divindo01
Jeff Green,DEN,"$4,500,000","$4,500,000",greenje02
Devin Vassell,SAS,"$4,437,000","$10,324,899",vassede01
Matisse Thybulle,POR,"$4,379,527","$4,379,527",thybuma01
Jarred Vanderbilt,LAL,"$4,374,000","$4,674,000",vandeja01
James Bouknight,CHO,"$4,362,240","$8,932,320",bouknja01
Brandon Clarke,MEM,"$4,343,920","$54,343,920",clarkbr01
Jalen Williams,OKC,"$4,341,480","$8,900,160",willija06
Grant Williams,BOS,"$4,306,281","$4,306,281",willigr01
Darius Bazley,PHO,"$4,264,629","$4,264,629",bazleda01
Ty Jerome,HOU,"$4,220,057","$4,220,057",jeromty01
Tyrese Haliburton,IND,"$4,215,120","$10,023,555",halibty01
Nassir Little,POR,"$4,171,548","$32,171,548",littlna01
Joshua Primo,SAS,"$4,144,320","$8,485,920",primojo01
Jalen Duren,DET,"$4,124,280","$8,454,960",durenja01
Danuel House Jr.,PHI,"$4,105,000","$8,415,250",houseda01
Justise Winslow,POR,"$4,097,561","$4,097,561",winslju01
Dylan Windler,CLE,"$4,037,278","$4,037,278",windldy01
Kira Lewis Jr.,NOP,"$4,004,280","$9,726,396",lewiski01
Terence Davis,SAC,"$4,000,000","$4,000,000",daviste02
George Hill,IND,"$4,000,000","$4,000,000",hillge01
Chris Duarte,IND,"$3,936,960","$8,061,360",duartch01
Jevon Carter,BRK,"$6,025,000","$3,925,000",carteje01
Alex Len,SAC,"$3,918,600","$3,918,600",lenal01
Ochai Agbaji,UTA,"$3,918,360","$8,032,560",agbajoc01
Jordan Poole,GSW,"$3,901,399","$131,901,399",poolejo01
Keldon Johnson,SAS,"$3,873,025","$77,873,025",johnske04
Aaron Nesmith,IND,"$3,804,360","$9,438,617",nesmiaa01
Moses Moody,GSW,"$3,740,160","$7,658,640",moodymo01
Mark Williams,CHO,"$3,722,040","$7,630,200",willima07
Cole Anthony,ORL,"$3,613,680","$9,153,451",anthoco01
Corey Kispert,WAS,"$3,552,840","$7,274,880",kispeco01
AJ Griffin,ATL,"$3,536,160","$7,249,080",griffaj01
Boban Marjanović,HOU,"$4,101,478","$4,101,478",marjabo01
Mike Muscala,BOS,"$3,500,000","$3,500,000",muscami01
Georges Niang,PHI,"$3,465,000","$3,465,000",niangge01
Chuma Okeke,ORL,"$3,433,320","$8,700,033",okekech01
Isaiah Stewart,DET,"$3,433,320","$8,700,033",stewais01
Amir Coffey,LAC,"$3,395,062","$11,000,000",coffeam01
Alperen Şengün,HOU,"$3,375,360","$6,911,640",sengual01
Tari Eason,HOU,"$3,359,160","$6,886,320",easonta01
Aleksej Pokusevski,OKC,"$3,261,480","$8,271,113",pokusal01
Kevin Porter Jr.,HOU,"$3,217,631","$21,456,631",porteke02
Trey Murphy III,NOP,"$3,206,520","$6,565,800",murphtr02
Simone Fontecchio,UTA,"$3,205,128","$6,250,000",fontesi01
Andre Drummond,CHI,"$3,200,000","$6,560,000",drumman01
Derrick Jones Jr.,CHI,"$3,200,000","$3,200,000",jonesde02
Dalen Terry,CHI,"$3,191,400","$6,542,160",terryda01
Kevin Love,MIA,"$32,056,968","$3,114,138",loveke01
Josh Green,DAL,"$3,098,400","$7,863,739",greenjo02
Jake LaRavia,MEM,"$3,047,640","$6,247,560",laravja01
Tre Mann,OKC,"$3,046,200","$6,237,600",manntr01
Kevin Knox,POR,"$3,000,000","$3,000,000",knoxke01
Sterling Brown,OKC,"$3,000,000","$3,000,000",brownst02
Saddiq Bey,ATL,"$2,959,080","$7,516,063",beysa01
Malaki Branham,SAS,"$2,925,600","$5,997,480",branhma01
Kai Jones,CHO,"$2,909,040","$5,956,920",joneska01
