player_name,player_id,poss,mp,raptor_total
Mason Plumlee,plumlma01,4561,2145,0.5070159909
Malik Monk,monkma01,4157,1924,0.4996451762
Jalen Johnson,johnsja05,2361,1098,0.493591506
Dennis Smith Jr.,smithde03,2957,1390,0.4495934716
Tari Eason,easonta01,3753,1767,0.4001263363
Kendall Brown,brownke03,98,40,0.3714349734
Caleb Martin,martica02,5538,2739,0.305591023
Jaden McDaniels,mcdanja02,5094,2416,0.301345947
Wendell Carter Jr.,cartewe01,3527,1690,0.2413420206
Mike Muscala,muscami01,2098,966,0.2291538497
Davion Mitchell,mitchda01,3388,1587,0.2201594485
Zach Collins,colliza01,3124,1441,0.218367369
Matisse Thybulle,thybuma01,2542,1200,0.2096128627
Jaylen Brown,brownja02,6542,3156,0.176689165
Isaac Okoro,okorois01,3533,1727,0.1625280583
Jordan McLaughlin,mclaujo01,1534,692,0.1555543588
Kelly Oubre Jr.,oubreke01,3287,1548,0.150940911
Grayson Allen,allengr01,4534,2121,0.1220616778
D'Angelo Russell,russeda01,5848,2777,0.1206844284
Kevin Huerter,huertke01,5006,2386,0.1039745805
Kira Lewis Jr.,lewiski01,498,235,0.09305731521
Sterling Brown,brownst02,60,24,0.06701807838
Josh Minott,minotjo01,233,102,0.05295699582
Quentin Grimes,grimequ01,4807,2363,0.03281406181
Daniel Gafford,gaffoda01,3338,1604,0.01974381324
Evan Mobley,mobleev01,5852,2903,0.002513077115
Tyus Jones,jonesty01,4386,2060,-0.004453574633
Royce O'Neale,onealro01,5168,2527,-0.006281744923
Tyler Herro,herroty01,4772,2356,-0.04592799605
Andre Iguodala,iguodan01,256,113,-0.04894899672
Michael Porter Jr.,portemi01,5009,2419,-0.0716109424
Devin Vassell,vassede01,2544,1178,-0.07592805252
Tobias Harris,harrito02,5657,2828,-0.07596134614
Josh Green,greenjo02,3173,1539,-0.08251367698
Dyson Daniels,daniedy01,2240,1042,-0.08360476661
Karl-Anthony Towns,townska01,2401,1137,-0.08396369404
CJ McCollum,mccolcj01,5497,2649,-0.08543176271
Chris Boucher,bouchch01,3125,1523,-0.1103681873
Wenyen Gabriel,gabriwe01,2298,1061,-0.1258345002
Nicolas Batum,batumni01,3802,1801,-0.1369708207
Ish Wainright,wainris01,1979,936,-0.147948056
Brandon Clarke,clarkbr01,2362,1090,-0.1933593282
Klay Thompson,thompkl01,5934,2747,-0.1971742679
AJ Griffin,griffaj01,2997,1401,-0.2148282783
Alex Len,lenal01,482,215,-0.2199687432
Willy Hernangomez,hernawi01,995,458,-0.2235474614
Terry Rozier,roziete01,4714,2221,-0.2401096982
Gary Trent Jr.,trentga02,4408,2118,-0.3321733602
Jaylin Williams,willija07,1946,914,-0.3407959271
Terance Mann,mannte01,4137,2005,-0.3484600676
Myles Turner,turnemy01,3848,1825,-0.3491661241
Dejounte Murray,murrade01,6111,2883,-0.3580662875
Jerami Grant,grantje01,4636,2246,-0.365733572
Miles McBride,mcbrimi01,1620,780,-0.3774326923
Bones Hyland,hylanbo01,2412,1167,-0.3807188098
Justin Champagnie,champju01,88,44,-0.3986059834
George Hill,hillge01,1777,834,-0.4049967992
Christian Wood,woodch01,3518,1738,-0.4327548025
Terence Davis,daviste02,1951,899,-0.4397755726
Joe Ingles,inglejo01,2456,1133,-0.4540300097
Ivica Zubac,zubaciv01,4721,2300,-0.4738758445
Eugene Omoruyi,omorueu01,1335,645,-0.478177174
Bruce Brown,brownbr01,5710,2782,-0.4976781255
Gabe Vincent,vincega01,4898,2409,-0.5044639371
Xavier Moon,moonxa01,40,20,-0.5051023261
Kyle Kuzma,kuzmaky01,4683,2239,-0.507694965
Christian Koloko,kolokch01,1680,802,-0.5261687796
Devonte' Graham,grahade01,2848,1338,-0.5333931438
Jae'Sean Tate,tateja01,1426,677,-0.5361584974
Damion Lee,leeda03,3353,1595,-0.5435697783
Dillon Brooks,brookdi01,5051,2381,-0.5469208778
Jordan Clarkson,clarkjo01,4164,1988,-0.5496061803
Collin Sexton,sextoco01,2440,1145,-0.5527831496
Bruno Fernando,fernabr01,844,405,-0.5562568813
Chimezie Metu,metuch01,1533,695,-0.5651012492
Matthew Dellavedova,dellama01,474,213,-0.5655150611
Kris Dunn,dunnkr01,1245,568,-0.5659711108
Trey Lyles,lylestr01,2933,1365,-0.5778084942
Joshua Primo,primojo01,207,93,-0.585607752
Dario Saric,saricda01,1693,806,-0.6666752444
Gary Payton II,paytoga02,1171,559,-0.6770514946
Markelle Fultz,fultzma01,3750,1778,-0.6929360777
Ben Simmons,simmobe01,2304,1105,-0.7067096874
Victor Oladipo,oladivi01,2355,1151,-0.7123453527
Naz Reid,reidna01,2721,1251,-0.7407372396
Darius Bazley,bazleda01,1308,616,-0.7416944084
Saddiq Bey,beysa01,4830,2262,-0.762944174
Dorian Finney-Smith,finnedo01,4251,2110,-0.7680603322
Yuta Watanabe,watanyu01,1976,933,-0.8383729327
Dennis Schroder,schrode01,5078,2403,-0.856508658
Cameron Payne,payneca01,2341,1120,-0.8728990447
Charles Bassey,bassech01,1093,508,-0.8816152212
Jalen McDaniels,mcdanja01,4282,2015,-0.8900318435
Bobby Portis,portibo01,4103,1925,-0.9428623871
Stanley Johnson,johnsst04,1015,469,-0.9448335788
Gary Harris,harriga01,2478,1184,-0.9659945279
Deni Avdija,avdijde01,4198,2020,-0.9714604427
Quenton Jackson,jacksqu01,302,135,-0.9936647904
Kevon Harris,harrike01,960,457,-1.040506368
Payton Pritchard,pritcpa01,1450,700,-1.06630134
Obi Toppin,toppiob01,2556,1225,-1.076544758
Justise Winslow,winslju01,1599,776,-1.078522182
Jeff Dowtin Jr.,dowtije01,523,259,-1.083057613
Dean Wade,wadede01,1848,902,-1.092591482
Troy Brown Jr.,browntr01,4221,1984,-1.09333777
Dru Smith,smithdr01,331,158,-1.094737335
Moussa Diabate,diabamo01,416,195,-1.095293425
Kessler Edwards,edwarke02,834,392,-1.096433234
Udonis Haslem,hasleud01,161,74,-1.170550816
Davis Bertans,bertada01,1028,492,-1.171589416
Damian Jones,jonesda03,1042,477,-1.171698925
Keita Bates-Diop,bateske01,3121,1452,-1.182249318
Cory Joseph,josepco01,2543,1227,-1.202095524
Talen Horton-Tucker,hortota01,2830,1313,-1.252449943
Mark Williams,willima07,1766,828,-1.258224968
Grant Williams,willigr01,4780,2310,-1.259457486
Bojan Bogdanovic,bogdabo02,3990,1893,-1.286995715
Keegan Murray,murrake02,5451,2576,-1.293117959
Aaron Wiggins,wiggiaa01,2767,1297,-1.335233016
Jevon Carter,carteje01,3979,1859,-1.337882911
Brandon Boston Jr.,bostobr01,531,249,-1.348561269
Marvin Bagley III,baglema01,2066,990,-1.353911761
Nikola Vucevic,vucevni01,5681,2746,-1.386911851
Keon Ellis,elliske01,147,71,-1.40009006
Jalen Green,greenja05,5456,2602,-1.434514933
Lester Quinones,quinole01,41,18,-1.447367549
Rui Hachimura,hachiru01,3939,1854,-1.453247934
Romeo Langford,langfro01,1822,844,-1.458807705
Naji Marshall,marshna01,3774,1792,-1.491539749
Russell Westbrook,westbru01,5031,2318,-1.539414304
Drew Eubanks,eubandr01,3311,1584,-1.540427912
Norman Powell,powelno01,3672,1734,-1.562273881
Jarrett Culver,culveja01,296,137,-1.569020996
Jalen Williams,willija06,4906,2276,-1.580083923
Santi Aldama,aldamsa01,3824,1783,-1.583192893
Mo Bamba,bambamo01,1613,779,-1.598165492
Jay Huff,huffja01,214,95,-1.600436278
Torrey Craig,craigto01,4428,2131,-1.601962861
Haywood Highsmith,highsha01,2301,1127,-1.606358764
Braxton Key,keybr01,21,9,-1.610507361
Gordon Hayward,haywago01,3384,1577,-1.617500687
Orlando Robinson,robinor01,864,425,-1.6396914
Max Christie,chrisma02,1176,545,-1.644937635
Tristan Thompson,thomptr01,64,32,-1.649106685
Garrett Temple,templga01,362,162,-1.686370601
Christian Braun,braunch01,2904,1404,-1.693233494
Sam Merrill,merrisa01,121,59,-1.728037091
Deonte Burton,burtode02,14,6,-1.729705053
Josh Richardson,richajo01,3276,1530,-1.776968441
Malik Beasley,beaslma01,4649,2184,-1.781027645
Jarred Vanderbilt,vandeja01,4492,2126,-1.800313864
David Duke Jr.,dukeda01,495,233,-1.805211112
Chris Duarte,duartch01,1918,897,-1.860597755
Duncan Robinson,robindu01,2219,1092,-1.883651765
Thaddeus Young,youngth01,1642,795,-1.894539482
Jalen Duren,durenja01,3489,1670,-1.90403189
Max Strus,strusma01,5852,2888,-1.914103048
Jeremy Sochan,sochaje01,3109,1458,-1.946187419
Keldon Johnson,johnske04,4372,2063,-1.947744985
Saben Lee,leesa01,805,373,-1.964215309
AJ Green,greenaj01,740,345,-1.981419117
Killian Hayes,hayeski01,4498,2154,-2.019538461
Shake Milton,miltosh01,3353,1588,-2.045949833
Dominick Barlow,barlodo01,893,408,-2.04977166
Precious Achiuwa,achiupr01,2328,1140,-2.053351221
De'Andre Hunter,huntede01,5026,2350,-2.053888275
Ziaire Williams,willizi02,1227,573,-2.069055186
Isaiah Stewart,stewais01,2982,1414,-2.082375678
Nick Richards,richani01,2583,1217,-2.085569244
JD Davison,davisjd01,140,66,-2.103078844
Usman Garuba,garubus01,2070,970,-2.113944042
Isaiah Livers,liveris01,2485,1199,-2.19679148
Duane Washington Jr.,washidu02,838,394,-2.199740518
Jonas Valanciunas,valanjo01,4093,1968,-2.200758237
Jeremiah Robinson-Earl,robinje02,1758,814,-2.255015928
Andrew Nembhard,nembhan01,4439,2073,-2.256998831
Terrence Ross,rosste01,2935,1399,-2.290386254
Tre Mann,manntr01,2533,1183,-2.290588453
Edmond Sumner,sumneed01,1588,740,-2.343605849
Lamar Stevens,stevela01,2275,1129,-2.346589795
Aaron Nesmith,nesmiaa01,3874,1816,-2.349924908
Bennedict Mathurin,mathube01,4780,2222,-2.399810161
Patrick Beverley,beverpa01,3786,1816,-2.427161591
Thomas Bryant,bryanth01,2301,1081,-2.429337947
Jaylen Nowell,nowelja01,2863,1314,-2.42957694
Aleksej Pokusevski,pokusal01,1516,701,-2.445469311
Josh Giddey,giddejo01,5088,2367,-2.465544919
Cam Thomas,thomaca02,2019,964,-2.505494242
Corey Kispert,kispeco01,4370,2093,-2.520205173
Joe Wieskamp,wieskjo01,108,50,-2.537976077
Wesley Matthews,matthwe02,1874,861,-2.559182827
Ayo Dosunmu,dosunay01,4405,2098,-2.565707602
Oshae Brissett,brissos01,2306,1083,-2.571526368
Moses Moody,moodymo01,2112,978,-2.581816711
Jericho Sims,simsje01,1646,812,-2.593127251
Vlatko Cancar,cancavl01,1865,899,-2.593868493
Jonathan Kuminga,kuminjo01,3121,1455,-2.596961139
Jared Rhoden,rhodeja01,408,198,-2.626865865
T.J. Warren,warretj01,1634,768,-2.63375998
Theo Maledon,maledth01,1821,854,-2.634279556
Leandro Bolmaro,bolmale01,147,68,-2.634338368
Otto Porter Jr.,porteot01,306,146,-2.64431746
Skylar Mays,mayssk01,418,189,-2.680133785
Trendon Watford,watfotr01,2475,1182,-2.721590196
Deandre Ayton,aytonde01,4842,2354,-2.730896837
Joe Harris,harrijo01,3276,1571,-2.732965667
Cody Martin,martico01,291,134,-2.799083745
Seth Curry,curryse01,2641,1269,-2.805083901
P.J. Tucker,tuckepj01,4424,2214,-2.807245424
Dewayne Dedmon,dedmode01,920,431,-2.839335521
Reggie Jackson,jacksre01,3436,1675,-2.871110526
John Collins,collijo01,4907,2294,-2.875475246
Bismack Biyombo,biyombi01,1973,952,-2.886835042
Patrick Williams,willipa01,4842,2323,-2.924402945
Ochai Agbaji,agbajoc01,2604,1209,-2.975037209
Jaden Hardy,hardyja02,1495,708,-3.008975007
Marcus Morris Sr.,morrima03,3874,1893,-3.020360352
Danny Green,greenda02,366,178,-3.041444003
Louis King,kinglo02,63,29,-3.045086637
Furkan Korkmaz,korkmfu01,780,364,-3.051158856
Georges Niang,niangge01,3475,1669,-3.0633573
Chris Silva,silvach01,8,3,-3.07809632
Buddy Boeheim,boehebu01,187,90,-3.086897469
Paolo Banchero,banchpa01,5096,2430,-3.087016922
Xavier Cooks,cooksxa01,285,126,-3.08881981
R.J. Hampton,hamptrj01,1558,750,-3.097980547
Maxi Kleber,klebima01,1915,930,-3.108172707
Dereon Seabron,seabrde01,25,12,-3.123530422
Rudy Gay,gayru01,1753,816,-3.137210187
Jason Preston,prestja01,266,125,-3.14472096
Ty Jerome,jeromty01,1739,816,-3.166034991
Dalano Banton,bantoda01,588,279,-3.20265043
RJ Barrett,barrerj01,5830,2852,-3.208289789
Taurean Prince,princta02,2818,1292,-3.209442861
Luka Samanic,samanlu01,354,161,-3.22600904
P.J. Washington,washipj01,5117,2380,-3.226753974
Jordan Poole,poolejo01,5955,2742,-3.226888564
Jaxson Hayes,hayesja02,1300,610,-3.241865108
Taj Gibson,gibsota01,995,480,-3.30879934
Carlik Jones,jonesca03,121,56,-3.310795597
Goran Dragic,dragigo01,1885,877,-3.333533067
Julian Champagnie,champju02,696,320,-3.37310921
Danuel House Jr.,houseda01,1786,849,-3.460519647
Kai Jones,joneska01,1170,550,-3.479482933
Zeke Nnaji,nnajize01,1517,740,-3.525823293
Cade Cunningham,cunnica01,853,400,-3.622272335
Isaiah Jackson,jacksis01,2265,1042,-3.632596247
Vit Krejci,krejcvi01,347,165,-3.638893987
Juancho Hernangomez,hernaju01,1269,614,-3.701444033
Jalen Smith,smithja04,2759,1279,-3.732565317
Kendrick Nunn,nunnke01,2090,964,-3.770876051
David Roddy,roddyda01,2851,1334,-3.803001082
Eric Gordon,gordoer01,4498,2114,-3.911224443
Cole Swider,swideco01,91,41,-3.911525825
JaMychal Green,greenja01,1852,846,-3.91612594
Kobi Simmons,simmoko01,60,28,-3.932893009
Anthony Gill,gillan01,1320,624,-3.972877734
Theo Pinson,pinsoth01,699,323,-4.051985608
Lindell Wigginton,wiggili01,188,87,-4.073808971
Kenyon Martin Jr.,martike04,4848,2292,-4.082983016
Jake LaRavia,laravja01,883,414,-4.208844645
Nathan Knight,knighna01,655,296,-4.216709434
Caleb Houstan,houstca01,1703,812,-4.22797698
Matt Ryan,ryanma01,687,310,-4.279201452
Frank Ntilikina,ntilila01,1286,607,-4.279699737
Admiral Schofield,schofad01,941,451,-4.341040701
Cam Reddish,reddica01,2091,990,-4.348962467
McKinley Wright IV,wrighmc01,700,335,-4.363155359
Nikola Jovic,jovicni01,450,217,-4.394009571
John Wall,walljo01,1615,755,-4.427086404
Patty Mills,millspa02,1232,572,-4.436043943
Lonnie Walker IV,walkelo01,3180,1476,-4.449166233
Serge Ibaka,ibakase01,382,185,-4.481199568
Malachi Flynn,flynnma01,1426,691,-4.532346841
Reggie Bullock,bullore01,4789,2364,-4.626225532
Nassir Little,littlna01,2024,976,-4.720220434
Jabari Smith Jr.,smithja05,5124,2451,-4.723739162
Bol Bol,bolbo01,3165,1505,-4.744655919
Ousmane Dieng,diengou01,1217,569,-4.796425008
Juan Toscano-Anderson,toscaju01,1513,700,-4.801712668
Jay Scrubb,scrubja01,64,30,-4.805748812
Ryan Arcidiacono,arcidry01,375,172,-4.867730412
Derrick Rose,rosede01,739,341,-4.876348654
Jordan Nwora,nworajo01,2565,1188,-4.899692243
Chuma Okeke,okekech01,1083,518,-4.923619145
Evan Fournier,fournev01,961,459,-4.949781775
Jeff Green,greenje02,2932,1429,-4.961839272
Shaedon Sharpe,sharpsh01,3743,1779,-5.00533292
Bryce McGowens,mcgowbr01,1689,787,-5.008337198
Udoka Azubuike,azubuud01,785,359,-5.018442305
Jaden Ivey,iveyja01,4824,2304,-5.045646341
Austin Rivers,riverau01,2262,1062,-5.154144422
Kevin Knox II,knoxke01,2062,952,-5.277961077
Frank Kaminsky,kaminfr01,499,235,-5.346822358
Isaiah Roby,robyis01,1027,474,-5.357611846
