player,team,salary_23_24,salary_23_24_log_zscores,raptor_zscore,darko_zscore,daryl_score,id,statmuse_player_names
OG Anunoby,TOR,"$18,642,857",0.92,0.64,1.35,16.65,93,og-anunoby
Dennis Schroder,TOR,"$12,405,000",0.39,-0.35,-0.09,16.31,94,dennis-schroder
Gabe Vincent,LAL,"$10,500,000",0.17,-0.19,-0.82,16.28,95,gabe-vincent
Jalen Green,HOU,"$9,891,480",0.09,-0.6,-0.6,16.23,96,jalen-green
Kevin Huerter,SAC,"$15,669,643",0.69,0.07,0.55,16.22,97,kevin-huerter
Jakob Poeltl,TOR,"$19,500,000",0.98,0.36,1.78,16.16,98,jakob-poeltl
Marcus Smart,MEM,"$18,833,713",0.93,0.64,1.19,16.12,99,marcus-smart
Josh Giddey,OKC,"$6,587,040",-0.44,-1.05,-1.07,16.11,100,josh-giddey
Aaron Gordon,DEN,"$22,266,182",1.15,1.18,2.29,16.05,101,aaron-gordon
Jarrett Allen,CLE,"$20,000,000",1.01,0.55,1.73,15.98,102,jarrett-allen
Dorian Finney-Smith,BRK,"$13,932,008",0.54,-0.31,0.22,15.9,103,dorian-finney-smith
Clint Capela,ATL,"$20,616,000",1.05,1.31,1.13,15.69,104,clint-capela
Luguentz Dort,OKC,"$15,277,778",0.66,0.76,-0.56,15.47,105,luguentz-dort
Harrison Barnes,SAC,"$17,000,000",0.8,0.47,0.14,14.96,106,harrison-barnes
Ayo Dosunmu,CHI,"$6,481,482",-0.46,-1.09,-1.31,14.86,107,ayo-dosunmu
Lonnie Walker IV,BRK,"$2,019,706",-1.98,-1.91,-1.65,14.79,108,lonnie-walker-iv
Buddy Hield,IND,"$19,279,841",0.96,0.78,0.48,14.48,109,buddy-hield
Draymond Green,GSW,"$22,321,429",1.15,1.14,1.47,14.47,110,draymond-green
Caris LeVert,CLE,"$15,384,616",0.67,0.6,-0.78,14.35,111,caris-levert
D'Angelo Russell,LAL,"$17,307,693",0.82,0.08,0.36,14.3,112,shaq
Georges Niang,CLE,"$8,800,000",-0.06,-1.31,-0.69,14.23,113,georges-niang
Grant Williams,DAL,"$12,405,000",0.39,-0.52,-0.62,14.04,114,grant-williams
Jeremy Sochan,SAS,"$5,316,960",-0.72,-0.82,-2.08,13.73,115,jeremy-sochan
Jalen Brunson,NYK,"$26,346,666",1.37,2.11,2.35,13.71,116,jalen-brunson
Brook Lopez,MIL,"$25,000,000",1.3,1.86,1.4,13.18,117,brook-lopez
Killian Hayes,DET,"$7,413,955",-0.29,-0.85,-1.72,13.1,118,killian-hayes
Spencer Dinwiddie,BRK,"$20,357,143",1.03,0.29,0.72,13.07,119,spencer-dinwiddie
Dejounte Murray,ATL,"$18,214,000",0.89,-0.13,0.2,12.69,120,dejounte-murray
Mikal Bridges,BRK,"$21,700,000",1.12,0.67,0.58,12.5,121,mikal-bridges
Patrick Williams,CHI,"$9,835,881",0.08,-1.25,-0.95,12.48,122,patrick-williams
Max Strus,CLE,"$14,487,684",0.59,-0.81,-0.33,12.38,123,max-strus
Reggie Jackson,DEN,"$5,000,000",-0.8,-1.22,-2.09,11.88,124,reggie-jackson
Jonas Valanciunas,NOP,"$15,435,000",0.67,-0.93,-0.22,11.68,125,jonas-valanciunas
Mike Conley,MIN,"$24,360,000",1.27,1.04,0.8,11.52,126,mike-conley
Myles Turner,IND,"$20,975,000",1.07,-0.13,0.56,11.49,127,myles-turner
Andrew Wiggins,GSW,"$24,330,357",1.26,0.41,1.28,11.3,128,andrew-wiggins
Jaren Jackson Jr.,MEM,"$27,102,202",1.41,1.36,1.77,11.28,129,shaq
Bennedict Mathurin,IND,"$6,916,080",-0.38,-1.02,-2.08,11.14,130,bennedict-mathurin
Markelle Fultz,ORL,"$17,000,000",0.8,-0.28,-0.69,11.09,131,markelle-fultz
Malcolm Brogdon,BOS,"$22,500,000",1.16,0.57,0.22,11.09,132,malcolm-brogdon
P.J. Tucker,PHI,"$11,014,500",0.23,-1.2,-1.19,10.92,133,shaq
Gary Trent Jr.,TOR,"$18,560,000",0.91,-0.12,-0.52,10.86,134,shaq
Shaedon Sharpe,POR,"$6,313,800",-0.5,-2.15,-1.11,10.84,135,shaedon-sharpe
Nikola Vucevic,CHI,"$18,518,519",0.91,-0.58,-0.19,10.59,136,nikola-vucevic
Paolo Banchero,ORL,"$11,608,080",0.3,-1.32,-1.09,10.45,137,paolo-banchero
Reggie Bullock,SAS,"$11,014,080",0.23,-1.99,-0.59,10.23,138,reggie-bullock
Bruce Brown,IND,"$22,000,000",1.13,-0.19,0.15,9.91,139,bruce-brown
Jordan Clarkson,UTA,"$23,487,629",1.22,-0.21,0.61,9.76,140,jordan-clarkson
Rui Hachimura,LAL,"$15,740,741",0.7,-0.61,-1.25,9.6,141,rui-hachimura
Dillon Brooks,HOU,"$22,627,671",1.17,-0.21,0.01,9.26,142,dillon-brooks
Norman Powell,LAC,"$18,000,000",0.87,-0.65,-0.87,9.17,143,norman-powell
Terry Rozier,CHO,"$23,205,221",1.2,-0.08,0.0,9.15,144,terry-rozier
Keldon Johnson,SAS,"$20,000,000",1.01,-0.82,-0.34,8.89,145,keldon-johnson
Joe Harris,DET,"$19,928,571",1.0,-1.16,-0.09,8.74,146,joe-harris
DeMar DeRozan,CHI,"$28,600,000",1.48,1.18,0.58,8.52,147,demar-derozan
Chris Paul,GSW,"$30,800,000",1.57,0.86,2.12,8.42,148,chris-paul
Julius Randle,NYK,"$28,226,880",1.46,0.36,0.72,7.94,149,julius-randle
Tyler Herro,MIA,"$27,000,000",1.4,0.01,0.51,7.92,150,tyler-herro
Bojan Bogdanovic,DET,"$20,000,000",1.01,-0.54,-1.12,7.87,151,bojan-bogdanovic
Anfernee Simons,POR,"$24,107,143",1.25,0.51,-1.14,7.75,152,anfernee-simons
Domantas Sabonis,SAC,"$30,600,000",1.56,1.24,0.57,7.37,153,domantas-sabonis
Jaden Ivey,DET,"$7,614,480",-0.25,-2.17,-1.65,7.36,154,jaden-ivey
Kyle Lowry,MIA,"$29,682,540",1.52,0.53,0.72,7.32,155,kyle-lowry
De'Andre Hunter,ATL,"$20,089,286",1.01,-0.87,-1.07,7.25,156,shaq
Kyle Kuzma,WAS,"$25,568,182",1.33,-0.2,-0.49,6.97,157,kyle-kuzma
Jerami Grant,POR,"$27,586,207",1.43,-0.13,0.09,6.88,158,jerami-grant
John Collins,UTA,"$25,340,000",1.32,-1.23,0.2,6.57,159,john-collins
Jabari Smith Jr.,HOU,"$9,326,520",0.01,-2.03,-1.82,6.43,160,shaq
Malaki Branham,SAS,"$3,071,880",-1.44,-2.84,-1.72,6.17,161,shaq
RJ Barrett,NYK,"$23,883,929",1.24,-1.37,-1.0,5.04,162,rj-barrett
Jordan Poole,WAS,"$27,455,357",1.42,-1.38,-0.42,4.71,163,jordan-poole
Jeff Green,HOU,"$9,600,000",0.05,-2.14,-3.35,0.01,164,jeff-green
